date,open,high,low,close,volume
2025-03-21,125.62,135.98,122.14,127.55,616780064.6530088
2025-03-25,127.59,145.05,125.41,140.97,790984186.9418594
2025-03-29,140.16,147.16,128.13,129.56,586354324.3143636
2025-04-02,129.49,130.59,122.8,126.88,779591222.31217
2025-04-06,126.77,134.82,112.43,120.07,419012509.94908345
2025-04-10,119.9,121.16,97.14,118.82,634980627.6785995
2025-04-14,118.84,133.77,108.75,128.1,1002850901.6112688
2025-04-18,128.48,135.9,123.83,134.57,988111033.8798517
2025-04-22,134.74,142.79,132.54,136.49,948119386.0228715
2025-04-26,136.7,155.77,135.58,150.98,1438241254.519314
2025-04-30,151.32,153.14,145.15,146.5,1096113574.2800522
2025-05-04,146.47,153.5,141.25,146.82,859565212.6422689
2025-05-08,146.71,149.21,141.73,147.24,978838256.0334623
2025-05-12,147.23,179.82,147.17,172.92,1514101048.1182747
2025-05-16,173.18,184.38,166.79,168.91,1733544488.3236136
2025-05-20,169.09,176.29,160.11,166.85,1328643990.3438892
2025-05-24,166.9,187.39,165.08,174.42,2056482077.7637346
2025-05-28,173.82,179.02,169.45,176.7,1141874785.743582
2025-06-01,176.69,177.32,152.64,156.79,737941625.2345225
2025-06-05,156.67,162.95,150.86,153.43,746604930.6906857
2025-06-09,153.34,155.13,142.62,152.57,462128285.57518023
2025-06-13,152.39,168.08,149.86,152.84,1068589869.6079469
2025-06-17,152.89,158.57,141.97,151.34,1031950358.7909079
2025-06-21,150.38,154.17,136.63,140.09,161044415.53354216
2025-06-25,140.18,146.5,126.85,145.93,742357283.0442541
2025-06-29,145.91,152.14,137.94,150.72,600245688.3307682
2025-07-03,150.83,159.25,145.12,152.25,715047067.9922367
2025-07-07,152.24,156.13,145.46,151.95,651838024.2648082
2025-07-11,151.94,165.05,147.84,164.22,950984657.432506
2025-07-15,164.36,168.36,158.0,162.12,1350778812.9801204
2025-07-19,162.37,184.26,157.4,177.51,1913821578.3499293
2025-07-23,177.38,205.65,174.48,205.38,2516471421.5345497
2025-07-27,205.52,205.52,176.56,185.01,728993972.7730639
2025-07-31,184.66,194.56,172.24,177.79,1275116104.9167762
2025-08-04,177.74,182.45,156.18,161.9,589806009.9454882
2025-08-08,162.06,175.28,161.34,175.28,978989868.0945625
2025-08-12,175.48,186.47,173.58,175.02,1300117751.2266574
2025-08-16,174.86,209.49,174.02,185.78,1340088987.103952
2025-08-20,185.62,195.19,175.93,176.16,1085622165.9070413
2025-08-24,176.27,208.18,176.15,203.97,1147995345.5914853
2025-08-28,203.96,212.68,186.07,203.24,2299532842.691964
2025-09-01,202.83,217.83,198.16,200.75,798485471.0289378
2025-09-05,200.28,212.46,194.5,202.71,1099141391.3038485
2025-09-09,202.55,216.88,199.65,214.17,1102821304.4516318
