open,high,low,close,date,volume
2018.91,2047.93,1815.82,1850.97,2025-07-15,79953420.70355529
1850.15,2191.78,1815.14,2014.96,2025-07-19,300920819.90886194
2016.29,2155.27,1962.19,2084.57,2025-07-23,146485492.11677644
2081.71,2294.92,1909.55,2284.59,2025-07-27,106492694.68317258
2264.76,2392.81,1975.8,2053.97,2025-07-31,93409279.73695883
2053.07,2075.19,1827.73,1889.92,2025-08-04,35063718.895577334
1888.4,2005.04,1775.97,1994.35,2025-08-08,77999791.27546522
1992.49,2134.97,1963.84,2008.28,2025-08-12,79767769.17727675
2005.9,2046.61,1797.83,1830.84,2025-08-16,92968322.79493365
1831.59,1882.53,1655.0,1655.0,2025-08-20,75690553.11531706
1655.66,1748.86,1511.47,1605.54,2025-08-24,110309441.9203941
1617.42,1635.85,1454.57,1589.8,2025-08-28,87402432.99963295
1590.25,1603.96,1500.61,1543.97,2025-09-01,41904426.46073719
1542.07,1847.34,1516.0,1747.26,2025-09-05,116724887.90235817
1747.69,1842.53,1624.6,1668.55,2025-09-09,58186064.384415865
