ts,open,high,low,close,volume,date,ema50,ema200,atr14
1735603200000,183.67,192.0,180.54,182.56,39421.97497957,2024-12-31 00:00:00+00:00,182.56,182.56,
1735689600000,182.56,188.2,181.51,187.32,20292.11407279,2025-01-01 00:00:00+00:00,182.74666666666667,182.6073631840796,
1735776000000,187.32,203.71,186.59,202.54,42483.51097435,2025-01-02 00:00:00+00:00,183.52287581699346,182.80569787876536,
1735862400000,202.58,213.56,200.14,211.45,50279.47472285,2025-01-03 00:00:00+00:00,184.61805715750353,183.09071581031992,
1735948800000,211.48,211.61,207.32,210.24,14349.19545375,2025-01-04 00:00:00+00:00,185.6228392297583,183.36085794156054,
1736035200000,210.25,212.43,205.38,207.03,16379.77276054,2025-01-05 00:00:00+00:00,186.46233573055213,183.5963717928883,
1736121600000,207.09,214.77,205.31,210.28,35348.20628484,2025-01-06 00:00:00+00:00,187.39636178033442,183.86188053126753,
1736208000000,210.28,211.15,195.34,195.59,36521.39274489,2025-01-07 00:00:00+00:00,187.71768092620366,183.9785782374241,
1736294400000,195.6,196.48,183.01,191.75,54978.88023686,2025-01-08 00:00:00+00:00,187.87581108596038,184.05590581715123,
1736380800000,191.41,192.97,176.72,179.77,32570.40944979,2025-01-09 00:00:00+00:00,187.55793614141294,184.01325998812484,
1736467200000,179.77,187.53,179.13,183.21,25070.45694199,2025-01-10 00:00:00+00:00,187.38742884174968,184.0052673514271,
1736553600000,183.31,187.0,179.93,183.45,16767.03910885,2025-01-11 00:00:00+00:00,187.23301986756343,183.9997423031542,
1736640000000,183.42,186.28,180.8,183.99,10465.24878479,2025-01-12 00:00:00+00:00,187.10584261785507,183.99964536481437,
1736726400000,183.99,187.19,165.51,178.2,47558.63194753,2025-01-13 00:00:00+00:00,186.75659388774312,183.94193745073662,11.26071428571429
1736812800000,178.21,185.24,177.4,181.99,25616.00249693,2025-01-14 00:00:00+00:00,186.56966863724338,183.9225151875452,11.00214285714286
1736899200000,182.03,200.0,180.4,199.93,38096.61182276,2025-01-15 00:00:00+00:00,187.09360320048876,184.08179364339054,11.924285714285718
1736985600000,200.0,211.17,192.93,204.8,46901.73895863,2025-01-16 00:00:00+00:00,187.78797170243038,184.2879449504215,12.004285714285716
1737072000000,204.86,215.65,203.64,213.28,37505.91605568,2025-01-17 00:00:00+00:00,188.7876590866488,184.57642311011878,11.90357142857143
1737158400000,213.29,261.84,211.14,254.24,189434.41957644,2025-01-18 00:00:00+00:00,191.35441755383906,185.26959302942112,15.218571428571428
1737244800000,254.23,287.45,231.7,245.63,271084.32645377,2025-01-19 00:00:00+00:00,193.482871767414,185.870194093805,18.697142857142858
1737331200000,245.62,264.52,223.05,232.41,166392.18724947,2025-01-20 00:00:00+00:00,195.00942581575072,186.3332767396378,20.983571428571427
1737417600000,232.37,250.38,222.05,240.69,62107.56522196,2025-01-21 00:00:00+00:00,196.80082088179972,186.87413965765137,21.877857142857142
1737504000000,240.69,260.96,238.78,247.41,74716.60466679,2025-01-22 00:00:00+00:00,198.78549457270952,187.47648652672947,22.499999999999993
1737590400000,247.4,248.15,232.67,243.17,51320.15202559,2025-01-23 00:00:00+00:00,200.52606341299543,188.03065083989637,22.444999999999993
1737676800000,243.16,257.68,237.14,241.53,48646.45075606,2025-01-24 00:00:00+00:00,202.1340609262113,188.5629826723352,23.312142857142852
1737763200000,241.53,249.0,234.78,244.26,44605.20288399,2025-01-25 00:00:00+00:00,203.78605853694813,189.11718184972491,23.822857142857142
1737849600000,244.55,247.94,229.83,229.92,26675.25446413,2025-01-26 00:00:00+00:00,204.81091898647958,189.52318004027492,24.724999999999994
1737936000000,229.83,231.97,210.58,225.1,119013.44323402,2025-01-27 00:00:00+00:00,205.6065692223039,189.8771782488294,24.704285714285707
1738022400000,225.09,233.62,215.75,217.77,51558.99904135,2025-01-28 00:00:00+00:00,206.08356650770375,190.15471876376645,25.42071428571428
1738108800000,217.66,228.58,214.0,218.83,44955.92515319,2025-01-29 00:00:00+00:00,206.58342664465656,190.44004494522153,25.062142857142856
1738195200000,219.27,234.37,217.77,229.33,40624.61399479,2025-01-30 00:00:00+00:00,207.47544912917985,190.82700967213475,24.944999999999997
1738281600000,229.25,232.77,220.35,223.75,33084.76714237,2025-01-31 00:00:00+00:00,208.1136668103885,191.1546016156956,24.97428571428571
1738368000000,223.75,225.92,205.99,206.1,42841.35463945,2025-02-01 00:00:00+00:00,208.03469948449094,191.30331204738025,22.776428571428564
1738454400000,206.06,211.62,187.77,198.47,78612.23665751,2025-02-02 00:00:00+00:00,207.65961323019718,191.374622375267,20.497857142857136
1738540800000,198.6,211.62,172.11,209.55,132100.45501786,2025-02-03 00:00:00+00:00,207.73374604469925,191.5554719038713,20.357857142857142
1738627200000,209.78,213.42,195.31,199.53,58058.07066861,2025-02-04 00:00:00+00:00,207.41203051353457,191.63482044214126,19.627857142857142
1738713600000,199.45,201.65,187.78,188.56,40556.20289687,2025-02-05 00:00:00+00:00,206.67273519927832,191.60422521386124,19.034285714285716
1738800000000,188.67,196.35,180.53,182.64,37423.33364874,2025-02-06 00:00:00+00:00,205.73027499538506,191.51502894307654,19.058571428571423
