ts,open,high,low,close,volume,date,ema50,ema200,atr14
1738281600000,229.25,232.77,220.35,223.75,33084.76714237,2025-01-31 00:00:00+00:00,223.75,223.75,
1738368000000,223.75,225.92,205.99,206.1,42841.35463945,2025-02-01 00:00:00+00:00,223.0578431372549,223.57437810945277,
1738454400000,206.06,211.62,187.77,198.47,78612.23665751,2025-02-02 00:00:00+00:00,222.09361399461747,223.32458330239353,
1738540800000,198.6,211.62,172.11,209.55,132100.45501786,2025-02-03 00:00:00+00:00,221.60170756345602,223.18752277202145,
1738627200000,209.78,213.42,195.31,199.53,58058.07066861,2025-02-04 00:00:00+00:00,220.7361504041048,222.95212453548396,
1738713600000,199.45,201.65,187.78,188.56,40556.20289687,2025-02-05 00:00:00+00:00,219.474340584336,222.60991434110105,
1738800000000,188.67,196.35,180.53,182.64,37423.33364874,2025-02-06 00:00:00+00:00,218.02985663985223,222.21220375064235,
1738886400000,182.65,195.95,182.23,186.23,33984.69976352,2025-02-07 00:00:00+00:00,216.78280343828942,221.8541718725265,
1738972800000,186.23,194.69,184.01,193.36,15128.93064998,2025-02-08 00:00:00+00:00,215.86426212698396,221.57064777429244,
1739059200000,193.35,200.99,188.22,194.54,18385.1071113,2025-02-09 00:00:00+00:00,215.02801655337674,221.3016861048965,
1739145600000,194.58,202.67,190.37,194.69,21136.01997954,2025-02-10 00:00:00+00:00,214.23044727677373,221.03689320833038,
1739232000000,194.69,200.0,188.46,191.16,28251.9391304,2025-02-11 00:00:00+00:00,213.32572385415517,220.73961068884452,
1739318400000,191.02,191.64,182.35,189.38,26668.39812656,2025-02-12 00:00:00+00:00,212.3866758598746,220.42757476159235,
1739404800000,189.41,190.22,182.13,185.75,17291.95534074,2025-02-13 00:00:00+00:00,211.34210033595795,220.08252426645217,15.849999999999996
1739491200000,185.74,195.44,185.71,190.25,28569.04091241,2025-02-14 00:00:00+00:00,210.51495914631255,219.78568322897505,15.657857142857138
1739577600000,190.2,190.9,183.72,185.58,11150.41218967,2025-02-15 00:00:00+00:00,209.53711761116304,219.44532817197032,14.747142857142853
1739664000000,185.58,187.19,177.53,179.69,19516.79645758,2025-02-16 00:00:00+00:00,208.36664241072526,219.0497527672741,13.733571428571425
1739750400000,179.57,180.73,166.88,169.33,65672.55670724,2025-02-17 00:00:00+00:00,206.83579368873603,218.55502885914203,11.900714285714283
1739836800000,169.37,171.01,154.05,162.0,85145.51370415,2025-02-18 00:00:00+00:00,205.0775272695699,217.99229225357843,11.818571428571426
1739923200000,162.05,167.2,156.71,162.04,46673.16056837,2025-02-19 00:00:00+00:00,203.3897811021358,217.43555302717468,11.577142857142851
1740009600000,162.14,169.03,160.94,167.68,44966.39149894,2025-02-20 00:00:00+00:00,201.989397529503,216.94047289755105,11.024999999999995
1740096000000,167.65,172.43,159.83,161.52,36349.79505886,2025-02-21 00:00:00+00:00,200.40236233226761,216.38902540603314,10.944999999999995
1740182400000,161.53,166.98,160.73,164.58,11120.41672356,2025-02-22 00:00:00+00:00,198.99756380943361,215.87351271542587,10.628571428571423
