ts,open,high,low,close,volume,date,ema50,ema200,atr14
1740528000000,2371.4,2385.62,2146.0,2223.54,12826.77349226,2025-02-26 00:00:00+00:00,2223.54,2223.54,
1740614400000,2223.68,2269.47,2141.69,2216.15,5760.62671452,2025-02-27 00:00:00+00:00,2223.2501960784316,2223.4664676616917,
1740700800000,2216.0,2221.22,1995.0,2154.74,14802.0690334,2025-02-28 00:00:00+00:00,2220.563521722415,2222.7826222123217,
1740787200000,2156.03,2196.96,2067.27,2138.46,3353.24789032,2025-03-01 00:00:00+00:00,2217.3437757725164,2221.9435911455325,
1740873600000,2138.19,2453.8,2096.86,2420.65,12858.50792084,2025-03-02 00:00:00+00:00,2225.3165688794766,2223.9207693430894,
1740960000000,2420.65,2424.82,1985.39,2049.25,13323.45906176,2025-03-03 00:00:00+00:00,2218.4119975508697,2222.1827517376855,
1741046400000,2049.25,2091.11,1895.85,2045.0,9653.64801435,2025-03-04 00:00:00+00:00,2211.611527058679,2220.4197392825845,
1741132800000,2044.83,2126.14,2008.59,2077.89,5460.83115992,2025-03-05 00:00:00+00:00,2206.3675456053975,2219.001532921564,
1741219200000,2077.89,2147.11,2018.57,2042.12,6877.06523925,2025-03-06 00:00:00+00:00,2199.926465385578,2217.241517668613,
1741305600000,2042.64,2078.98,1950.28,1976.33,9576.72620201,2025-03-07 00:00:00+00:00,2191.157976546928,2214.8443881395724,
1741392000000,1976.34,2061.99,1942.69,2034.59,3135.69254572,2025-03-08 00:00:00+00:00,2185.0180558980287,2213.050812138184,
1741478400000,2034.6,2042.27,1833.77,1857.75,7688.32021576,2025-03-09 00:00:00+00:00,2172.184014490263,2209.5154806741225,
1741564800000,1859.89,1985.32,1672.62,1719.77,13265.5017139,2025-03-10 00:00:00+00:00,2154.4422884318215,2204.642391314181,
1741651200000,1720.1,1796.76,1617.0,1760.14,11466.41489861,2025-03-11 00:00:00+00:00,2138.979453591358,2200.219481947871,207.85642857142855
1741737600000,1761.61,1790.74,1677.5,1753.5,7532.15524552,2025-03-12 00:00:00+00:00,2123.86261227405,2195.7745119782403,198.8292857142857
1741824000000,1753.11,1769.39,1677.67,1717.61,7520.49469077,2025-03-13 00:00:00+00:00,2107.931137282911,2191.016656137661,196.25357142857143
1741910400000,1717.91,1788.74,1714.56,1756.33,5775.23271128,2025-03-14 00:00:00+00:00,2094.1428573894636,2186.691415778082,185.39357142857145
1741996800000,1757.52,1799.24,1752.01,1782.01,2822.05110289,2025-03-15 00:00:00+00:00,2081.902353178112,2182.6647350240714,179.50357142857143
1742083200000,1782.14,1783.81,1712.43,1735.41,4721.79863253,2025-03-16 00:00:00+00:00,2068.3144177593626,2178.214439153185,159.10642857142858
1742169600000,1735.42,1787.36,1727.55,1764.34,5523.4422157,2025-03-17 00:00:00+00:00,2056.3938523570346,2174.0962855297703,131.9907142857143
1742256000000,1764.26,1768.01,1712.46,1766.25,3774.77347867,2025-03-18 00:00:00+00:00,2045.0156620685234,2170.038113534449,122.01142857142857
1742342400000,1765.48,1897.37,1761.64,1885.34,7659.50441547,2025-03-19 00:00:00+00:00,2038.7538713991696,2167.205296484355,123.30999999999997
1742428800000,1885.17,1894.28,1798.54,1827.02,5326.35050292,2025-03-20 00:00:00+00:00,2030.4505823246925,2163.8203681611276,120.96714285714282
1742515200000,1826.96,1839.19,1786.0,1815.8,3174.5472969,2025-03-21 00:00:00+00:00,2022.0329124296065,2160.357478925693,115.5735714285714
1742601600000,1816.24,1854.79,1815.62,1830.26,2112.16036494,2025-03-22 00:00:00+00:00,2014.512406059818,2157.072926896582,109.85
1742688000000,1830.27,1867.05,1827.63,1850.64,2471.65286964,2025-03-23 00:00:00+00:00,2008.0860371947272,2154.023843046865,97.77285714285712
1742774400000,1850.82,1944.0,1827.83,1927.82,6039.6286639,2025-03-24 00:00:00+00:00,2004.9383494616006,2151.773058538936,83.73499999999999
1742860800000,1926.8,1942.07,1886.27,1916.68,3444.67622845,2025-03-25 00:00:00+00:00,2001.4772377180086,2149.4338241256132,74.88071428571426
1742947200000,1916.68,1926.82,1843.1,1869.99,4025.22569673,2025-03-26 00:00:00+00:00,1996.3208754545574,2146.653288562174,72.77214285714284
1743033600000,1870.0,1890.04,1843.12,1854.94,2652.6575362,2025-03-27 00:00:00+00:00,1990.776527397516,2143.750668775486,69.57214285714284
1743120000000,1854.94,1867.58,1721.11,1752.1,5617.12080513,2025-03-28 00:00:00+00:00,1981.4166635780057,2139.8536471956304,74.73571428571427
