ts,open,high,low,close,volume,date,ema50,ema200,atr14
1725926400000,122.34,125.18,120.17,123.1,31245.01170326,2024-09-10 00:00:00+00:00,123.1,123.1,
1726012800000,123.11,123.23,116.6,120.31,34153.29815358,2024-09-11 00:00:00+00:00,122.99058823529411,123.07223880597014,
1726099200000,120.34,123.96,120.33,123.04,15266.47950157,2024-09-12 00:00:00+00:00,122.9925259515571,123.07191802183114,
1726185600000,122.86,126.29,118.99,125.56,24529.73092044,2024-09-13 00:00:00+00:00,123.09321120835878,123.09667505643979,
1726272000000,125.58,126.24,122.54,123.78,12901.32356746,2024-09-14 00:00:00+00:00,123.12014410214864,123.10347430960955,
1726358400000,123.78,124.38,117.8,118.63,25644.79154718,2024-09-15 00:00:00+00:00,122.94406001971144,123.0589621274244,
1726444800000,118.64,118.95,116.0,118.07,23542.90974133,2024-09-16 00:00:00+00:00,122.7529204110953,123.00932071322117,
1726531200000,118.08,121.9,117.0,118.33,23113.55034175,2024-09-17 00:00:00+00:00,122.57947255183667,122.96276030811451,
1726617600000,118.28,120.93,114.45,120.87,36603.75812144,2024-09-18 00:00:00+00:00,122.51243441254896,122.94193682246164,
1726704000000,120.97,128.99,120.97,127.92,49258.39688653,2024-09-19 00:00:00+00:00,122.72449580813527,122.99146978940233,
1726790400000,127.96,136.35,126.51,131.32,50258.70828956,2024-09-20 00:00:00+00:00,123.06157440389468,123.07434073677148,
1726876800000,131.4,134.2,129.63,133.95,16725.10702823,2024-09-21 00:00:00+00:00,123.48857148609488,123.18255625182849,
1726963200000,133.9,134.2,126.61,129.57,26797.97100359,2024-09-22 00:00:00+00:00,123.72705887879705,123.24611290603914,
1727049600000,129.62,133.43,127.66,130.29,26792.32730674,2024-09-23 00:00:00+00:00,123.98442911884423,123.31620133483477,5.9350000000000005
1727136000000,130.33,137.66,128.93,136.27,39537.11688711,2024-09-24 00:00:00+00:00,124.46621621222289,123.44509485389115,6.200714285714285
1727222400000,136.47,137.38,132.44,132.94,22512.40050315,2024-09-25 00:00:00+00:00,124.7985214588024,123.53957152201164,6.079999999999998
1727308800000,132.97,141.42,131.7,139.24,42034.04121502,2024-09-26 00:00:00+00:00,125.36485395061408,123.69579469094685,6.513571428571427
1727395200000,139.2,144.3,137.95,141.22,35632.20345738,2024-09-27 00:00:00+00:00,125.98662438392333,123.87016489302698,6.445714285714286
1727481600000,141.26,142.62,138.96,140.39,12415.3125483,2024-09-28 00:00:00+00:00,126.55146264337732,124.03454136175309,6.442857142857143
1727568000000,140.45,144.84,138.97,142.0,16549.22344821,2024-09-29 00:00:00+00:00,127.15728763775468,124.2133021442232,6.392142857142858
1727654400000,141.91,142.79,136.33,137.08,23782.16178477,2024-09-30 00:00:00+00:00,127.54641361274469,124.3413289885593,6.6428571428571415
1727740800000,136.95,141.86,128.5,131.29,48976.51545144,2024-10-01 00:00:00+00:00,127.69322092204882,124.41046999364826,7.247142857142856
1727827200000,131.14,134.5,125.54,127.09,44759.75239781,2024-10-02 00:00:00+00:00,127.66956519961553,124.43713198376123,7.4242857142857135
1727913600000,126.95,129.48,120.85,124.03,30514.66012462,2024-10-03 00:00:00+00:00,127.52683715257179,124.4330809192462,7.460714285714284
1728000000000,123.98,131.74,123.28,130.4,26534.16681094,2024-10-04 00:00:00+00:00,127.63951020541211,124.49245324840794,7.362142857142857
1728086400000,130.48,132.0,128.42,129.83,6979.70389484,2024-10-05 00:00:00+00:00,127.72541176598419,124.54556316633423,7.291428571428573
1728172800000,129.84,133.66,129.31,133.42,11526.96943314,2024-10-06 00:00:00+00:00,127.94872895163188,124.63386602040057,7.060000000000001
1728259200000,133.47,138.83,130.8,131.17,40944.72088469,2024-10-07 00:00:00+00:00,128.07505330646984,124.69890217940157,7.221428571428572
1728345600000,131.19,132.53,128.77,130.72,19706.38850123,2024-10-08 00:00:00+00:00,128.17877670621613,124.75881360050205,6.866428571428572
1728432000000,130.69,132.31,126.72,127.36,15210.92812718,2024-10-09 00:00:00+00:00,128.14666781577628,124.78469605223836,6.912857142857144
1728518400000,127.31,128.65,124.01,127.08,16853.06062951,2024-10-10 00:00:00+00:00,128.10483770535367,124.80753489748972,6.550000000000002
1728604800000,127.08,133.87,126.88,132.94,23173.47756621,2024-10-11 00:00:00+00:00,128.29445191298686,124.88845494826097,6.595714285714286
1728691200000,133.03,134.5,132.35,133.7,11518.60454834,2024-10-12 00:00:00+00:00,128.50643419090895,124.97613201345241,6.487857142857144
1728777600000,133.7,135.96,131.89,135.14,13456.63292003,2024-10-13 00:00:00+00:00,128.7665740265596,125.07726502824394,6.359285714285717
1728864000000,135.17,144.64,134.48,144.18,57078.84315594,2024-10-14 00:00:00+00:00,129.3710221039494,125.26734199313705,6.623571428571432
1728950400000,144.21,146.0,138.03,142.03,36360.61655849,2024-10-15 00:00:00+00:00,129.8674526096769,125.43413461012076,6.238571428571431
1729036800000,142.05,145.38,140.51,142.01,22831.02149322,2024-10-16 00:00:00+00:00,130.34363093870917,125.59906859409968,5.946428571428575
1729123200000,142.18,143.19,136.32,138.81,21018.07067893,2024-10-17 00:00:00+00:00,130.67564541170097,125.73052064788973,5.820714285714289
1729209600000,138.8,144.05,138.09,142.57,26203.48204074,2024-10-18 00:00:00+00:00,131.14209068967347,125.89807765636846,5.6421428571428605
1729296000000,142.6,146.85,141.49,146.75,21539.35457282,2024-10-19 00:00:00+00:00,131.75416556458825,126.10555947073296,5.769285714285716
1729382400000,146.72,154.21,144.67,153.4,32322.60679365,2024-10-20 00:00:00+00:00,132.60302181695732,126.37714594366099,6.140000000000003
1729468800000,153.76,157.69,148.58,153.51,46034.53576041,2024-10-21 00:00:00+00:00,133.42290331433156,126.64712459098776,6.21714285714286
1729555200000,153.52,157.99,150.66,154.84,26769.9050827,2024-10-22 00:00:00+00:00,134.2627894588676,126.92765071446053,6.472142857142861
1729641600000,154.97,161.25,152.0,158.53,42608.90786656,2024-10-23 00:00:00+00:00,135.21444477420613,127.24210195113257,6.733571428571432
1729728000000,158.32,165.36,158.11,163.62,43605.2136396,2024-10-24 00:00:00+00:00,136.3283881163941,127.60407108594717,6.9200000000000035
1729814400000,163.6,163.85,147.63,152.8,48704.2005342,2024-10-25 00:00:00+00:00,136.9743336804571,127.854776846286,7.579285714285717
1729900800000,152.8,160.39,150.51,158.24,19428.03275347,2024-10-26 00:00:00+00:00,137.80828137926272,128.15711737517867,8.131428571428573
1729987200000,158.24,164.71,157.73,163.46,19726.4512171,2024-10-27 00:00:00+00:00,138.81423112909556,128.50838983910725,8.339285714285717
1730073600000,163.33,165.89,159.46,164.57,39698.77374882,2024-10-28 00:00:00+00:00,139.8242612808957,128.86721183075792,8.072857142857144
1730160000000,164.6,169.68,163.0,165.63,57342.12684987,2024-10-29 00:00:00+00:00,140.8362510345861,129.23301071801407,7.980714285714287
1730246400000,165.66,167.46,159.37,161.14,23019.14786375,2024-10-30 00:00:00+00:00,141.63247648421017,129.55049319843184,8.210714285714287
1730332800000,161.06,162.5,154.0,154.92,22056.68179357,2024-10-31 00:00:00+00:00,142.15355583777054,129.80292610193004,8.327142857142858
1730419200000,154.88,160.19,150.86,153.57,31148.466658,2024-11-01 00:00:00+00:00,142.601259530407,130.0394143994233,8.567857142857141
1730505600000,153.42,155.57,149.87,153.44,17603.17244755,2024-11-02 00:00:00+00:00,143.0263081762734,130.27225604719024,8.592142857142857
1730592000000,153.59,153.94,145.8,149.64,31319.3471255,2024-11-03 00:00:00+00:00,143.28566863994897,130.46496991736745,8.492142857142854
1730678400000,149.64,151.48,141.78,145.24,42075.74249046,2024-11-04 00:00:00+00:00,143.36230908544115,130.61198514207027,8.534285714285712
1730764800000,145.24,155.0,144.29,152.51,50582.05718499,2024-11-05 00:00:00+00:00,143.72104206248267,130.82987583717406,8.775714285714283
1730851200000,152.51,176.96,152.46,173.8,148229.775708,2024-11-06 00:00:00+00:00,144.9006090404245,131.2574392616798,9.864999999999997
1730937600000,173.79,183.2,172.34,181.85,58437.84624233,2024-11-07 00:00:00+00:00,146.34960476432943,131.7608478262402,10.12285714285714
1731024000000,181.85,190.84,181.69,186.66,76448.43727608,2024-11-08 00:00:00+00:00,147.93040457749296,132.30710804687462,9.617857142857138
1731110400000,186.66,189.88,182.09,186.64,39076.63377766,2024-11-09 00:00:00+00:00,149.4484279273952,132.84773383745298,9.468571428571424
1731196800000,186.61,201.05,184.46,195.72,118055.82030321,2024-11-10 00:00:00+00:00,151.26299938122284,133.47332852563756,10.154999999999996
1731283200000,195.72,207.98,190.5,206.21,88234.5813807,2024-11-11 00:00:00+00:00,153.4177837192141,134.19707650050682,10.94428571428571
1731369600000,205.99,210.0,191.01,198.53,97233.49768346,2024-11-12 00:00:00+00:00,155.18689024002924,134.83720509254158,11.823571428571425
1731456000000,198.45,207.92,188.5,203.48,99174.9546718,2024-11-13 00:00:00+00:00,157.08073768159673,135.5202179771929,12.632857142857137
1731542400000,203.34,211.11,196.5,198.96,74028.29533071,2024-11-14 00:00:00+00:00,158.72306169408316,136.15145958936014,13.06928571428571
1731628800000,199.04,208.75,194.23,206.84,46501.52202932,2024-11-15 00:00:00+00:00,160.61000045117794,136.85482815066004,13.439999999999998
1731715200000,207.01,209.95,202.14,204.13,38924.09109559,2024-11-16 00:00:00+00:00,162.31666710015136,137.52423284567837,13.590714285714284
1731801600000,204.1,228.5,201.0,224.91,94832.35825334,2024-11-17 00:00:00+00:00,164.7713076060278,138.39374296661688,14.973571428571429
1731888000000,225.03,235.0,220.5,226.4,73103.29041978,2024-11-18 00:00:00+00:00,167.18811907245808,139.2694271162028,15.316428571428572
1731974400000,226.41,234.28,220.69,224.26,48441.9180468,2024-11-19 00:00:00+00:00,169.42623205000874,140.11510445833014,15.522142857142857
1732060800000,224.3,229.74,218.0,222.82,43877.8060409,2024-11-20 00:00:00+00:00,171.5201053029496,140.93803874232688,14.610714285714286
1732147200000,222.86,247.15,218.05,244.3,105050.9826182,2024-11-21 00:00:00+00:00,174.374218820481,141.9665159687714,15.91357142857143
1732233600000,244.11,251.16,240.7,246.36,79486.05937996,2024-11-22 00:00:00+00:00,177.1971906314425,143.0052571034105,16.00714285714286
1732320000000,246.26,252.12,241.55,243.54,54849.31076452,2024-11-23 00:00:00+00:00,179.7988694302095,144.00560280387407,16.205714285714286
1732406400000,243.56,248.16,230.12,241.06,66539.38421396,2024-11-24 00:00:00+00:00,182.20126670745617,144.97131819886042,16.309285714285714
1732492800000,241.05,244.87,220.06,224.01,73494.3806524,2024-11-25 00:00:00+00:00,183.8408248757912,145.7577727441454,16.832857142857144
1732579200000,224.03,228.9,211.0,219.84,90455.17164945,2024-11-26 00:00:00+00:00,185.25255723360334,146.49490933375588,16.755000000000003
1732665600000,219.58,230.45,217.24,229.29,39617.95501857,2024-11-27 00:00:00+00:00,186.97951577346205,147.31874108167872,16.31142857142857
1732752000000,229.29,232.6,220.88,225.0,25468.94833847,2024-11-28 00:00:00+00:00,188.4705151548949,148.09168893161228,16.105
